Nbhood,District,Care In Hospital,Latitude,Longitude
Burgazada,Adalar,24,40.8740929,29.0898721
Heybeliada,Adalar,66,40.8740929,29.0898721
Kinaliada,Adalar,15,40.8740929,29.0898721
Maden,Adalar,64,40.8740929,29.0898721
Nizam,Adalar,48,40.8740929,29.0898721
Adnan menderes,Arnavutkoy,1,41.186394,28.738889
Anadolu,Arnavutkoy,8,41.186394,28.738889
Arnavutkoy merkez,Arnavutkoy,2,41.186394,28.738889
Ataturk,Arnavutkoy,2,41.186394,28.738889
Baklali,Arnavutkoy,0,41.186394,28.738889
Balaban,Arnavutkoy,0,41.186394,28.738889
Bogazkoy istiklal,Arnavutkoy,3,41.186394,28.738889
Bolluca,Arnavutkoy,1,41.186394,28.738889
Boyalik,Arnavutkoy,0,41.186394,28.738889
Cilingir,Arnavutkoy,0,41.186394,28.738889
Deliklikaya,Arnavutkoy,0,41.186394,28.738889
Dursunkoy,Arnavutkoy,0,41.186394,28.738889
Durusu,Arnavutkoy,0,41.186394,28.738889
Fatih,Arnavutkoy,0,41.186394,28.738889
Hacimasli,Arnavutkoy,0,41.186394,28.738889
Hadimkoy,Arnavutkoy,0,41.186394,28.738889
Haracci,Arnavutkoy,0,41.186394,28.738889
Hastane,Arnavutkoy,0,41.186394,28.738889
Hicret,Arnavutkoy,0,41.186394,28.738889
Imrahor,Arnavutkoy,2,41.186394,28.738889
Islambey,Arnavutkoy,4,41.186394,28.738889
Karaburun,Arnavutkoy,0,41.186394,28.738889
Karlibayir,Arnavutkoy,1,41.186394,28.738889
Maresal fevzi cakmak,Arnavutkoy,0,41.186394,28.738889
Mavigol,Arnavutkoy,0,41.186394,28.738889
Mehmet akif ersoy,Arnavutkoy,0,41.186394,28.738889
Mustafa kemal pasa,Arnavutkoy,3,41.186394,28.738889
Nenehatun,Arnavutkoy,0,41.186394,28.738889
Omerli,Arnavutkoy,0,41.186394,28.738889
Sazlibosna,Arnavutkoy,0,41.186394,28.738889
Tasoluk,Arnavutkoy,1,41.186394,28.738889
