District,Category,Capacity,Nbhood,Latitude,Longitude,Care Category,Capacity Category,Bed Capacity,Desired Bed Capacity,Capacity Difference
FATİH,Policlinic,60.0,CERRAHPAŞA,41.00354611,28.94229439,Public Health Care,Low Capacity,6.395012468827931,38.27506234413968,31.880049875311748
FATİH,Policlinic Private,0.0,DERVİŞ ALİ,41.02620991,28.94002535,Private Health Care,Low Capacity,40.27368421052631,120.81928964139358,80.54560543086727
ADALAR,Emergency Station,3.0,MADEN,40.87467383,29.13274604,Emergency Care,Emergency Location,,0.0,
SARIYER,Public Hospital,,SARIYER MERKEZ,41.16916369,29.0565991,Public Health Care,High Capacity,477.0976744186046,0.0,-477.0976744186046
FATİH,Policlinic,0.0,ATİKALİ,41.02279539,28.94458123,Public Health Care,Low Capacity,6.395012468827931,0.0,-6.395012468827931
SARIYER,Clinic,,FERAHEVLER,41.12841656,29.04786351,Public Health Care,Low Capacity,6.395012468827931,44.76928964139358,38.37427717256565
FATİH,Research Hospital,507.0,CERRAHPAŞA,41.00307392,28.93830032,Research Care,High Capacity,146.86486486486487,0.0,-146.86486486486487
FATİH,Red Crescent,,İSKENDERPAŞA,41.01614603,28.95080644,Public Health Care,,0.0,0.0,0.0
FATİH,Policlinic,0.0,SÜLEYMANİYE,41.01420996,28.96192372,Public Health Care,Low Capacity,6.395012468827931,0.0,-6.395012468827931
BEYOĞLU,Private Hospital,,FİRUZAĞA,41.02878152,28.98143308,Private Health Care,Medium Capacity,59.51555555555555,0.0,-59.51555555555555
KARTAL,Research Hospital,465.0,CEVİZLİ,40.91582446,29.17170436,Research Care,High Capacity,146.86486486486487,0.0,-146.86486486486487
FATİH,Policlinic,750.0,TOPKAPI,41.01723579,28.93443849,Public Health Care,Low Capacity,6.395012468827931,0.0,-6.395012468827931
SARIYER,Clinic,,SARIYER MERKEZ,41.16834661,29.05708114,Public Health Care,Low Capacity,6.395012468827931,1.0,-5.395012468827931
SİLİVRİ,Public Hospital,35.0,SELİMPAŞA,41.05433252,28.37936054,Public Health Care,High Capacity,477.0976744186046,0.0,-477.0976744186046
FATİH,Research Hospital,125.0,HIRKA-İ ŞERİF,41.0204647,28.93751396,Research Care,High Capacity,146.86486486486487,21.671105841370977,-125.1937590234939
FATİH,Policlinic,,CERRAHPAŞA,41.00514598,28.94026861,Public Health Care,Low Capacity,6.395012468827931,4.55,-1.8450124688279308
KÜÇÜKÇEKMECE,Clinic,,CENNET,40.99249956,28.77935834,Public Health Care,Low Capacity,6.395012468827931,6.395012468827931,0.0
KAĞITHANE,Policlinic Private,0.0,SULTAN SELİM,41.090911,29.00053696,Private Health Care,Low Capacity,40.27368421052631,39.2,-1.0736842105263094
KADIKÖY,Policlinic,0.0,MERDİVENKÖY,40.98572448,29.06583905,Public Health Care,Low Capacity,6.395012468827931,29.48004987531172,23.085037406483792
ŞİŞLİ,Private Hospital,48.0,TEŞVİKİYE,41.05562822,28.99787243,Private Health Care,Medium Capacity,59.51555555555555,0.0,-59.51555555555555
KARTAL,Red Crescent,,ESENTEPE,40.90800743,29.18972396,Public Health Care,,0.0,0.0,0.0
ÜSKÜDAR,Private Hospital,20.0,AZİZ MAHMUT HÜDAYİ,41.02144526,29.01583249,Private Health Care,Medium Capacity,59.51555555555555,0.0,-59.51555555555555
FATİH,Policlinic,19.0,TOPKAPI,41.01642915,28.93266195,Public Health Care,Low Capacity,6.395012468827931,0.0,-6.395012468827931
BAHÇELİEVLER,Clinic,,CUMHURİYET,41.01456,28.857394,Public Health Care,Low Capacity,6.395012468827931,0.0,-6.395012468827931
BAHÇELİEVLER,Clinic,,SİYAVUŞPAŞA,41.004363,28.85252371,Public Health Care,Low Capacity,6.395012468827931,0.0,-6.395012468827931
SARIYER,Clinic,,SARIYER MERKEZ,41.16953285,29.0559198,Public Health Care,Low Capacity,6.395012468827931,0.4,-5.99501246882793
BEŞİKTAŞ,Private Hospital,0.0,LEVENT,41.08606814,29.01786073,Private Health Care,Medium Capacity,59.51555555555555,0.0,-59.51555555555555
GAZİOSMANPAŞA,Policlinic,0.0,MERKEZ,41.05625857,28.91223575,Public Health Care,Low Capacity,6.395012468827931,0.0,-6.395012468827931
KÜÇÜKÇEKMECE,Emergency Station,3.0,İNÖNÜ,41.02600322,28.79732541,Emergency Care,Emergency Location,,0.0,
ÜSKÜDAR,Research Hospital,464.0,SELİMİYE,41.00379664,29.02341119,Research Care,High Capacity,146.86486486486487,0.0,-146.86486486486487
KADIKÖY,Policlinic Private,0.0,CADDEBOSTAN,40.96957163,29.06419684,Private Health Care,Low Capacity,40.27368421052631,0.0,-40.27368421052631
BEŞİKTAŞ,Emergency Station,3.0,BEBEK,41.084082,29.053407,Emergency Care,Emergency Location,,0.0,
BAHÇELİEVLER,Clinic,,SİYAVUŞPAŞA,40.99922347,28.85755956,Public Health Care,Low Capacity,6.395012468827931,0.0,-6.395012468827931
BAHÇELİEVLER,Clinic,,BAHÇELİEVLER,41.00191803,28.87038019,Public Health Care,Low Capacity,6.395012468827931,0.0,-6.395012468827931
BAHÇELİEVLER,Emergency Station,3.0,FEVZİ ÇAKMAK,40.99335245,28.82963208,Emergency Care,Emergency Location,,0.0,
ŞİŞLİ,Private Hospital,39.0,TEŞVİKİYE,41.05473519,28.99608403,Private Health Care,Medium Capacity,59.51555555555555,0.0,-59.51555555555555
SARIYER,Clinic,,AYAZAĞA,41.115306,28.998356,Public Health Care,Low Capacity,6.395012468827931,0.0,-6.395012468827931
SARIYER,Clinic,,SARIYER MERKEZ,41.16896758,29.0554305,Public Health Care,Low Capacity,6.395012468827931,0.0,-6.395012468827931
BEYOĞLU,Red Crescent,,CAMİİKEBİR,41.0339839,28.96616965,Public Health Care,,0.0,0.0,0.0
SARIYER,Clinic,,AYAZAĞA,41.11509203,28.99788301,Public Health Care,Low Capacity,6.395012468827931,0.0,-6.395012468827931
ÜSKÜDAR,Policlinic,0.0,KISIKLI,41.02736059,29.07499558,Public Health Care,Low Capacity,6.395012468827931,27.5,21.10498753117207
TUZLA,Policlinic Private,5.0,ŞİFA,40.828747,29.35492915,Private Health Care,Low Capacity,40.27368421052631,206.2416523393001,165.96796812877378
ŞİŞLİ,Policlinic Private,0.0,HARBİYE,41.0512618,28.99113626,Private Health Care,Low Capacity,40.27368421052631,0.0,-40.27368421052631
ESENYURT,Private Hospital,75.0,BAĞLARÇEŞME,41.0333794,28.67657012,Private Health Care,Medium Capacity,59.51555555555555,0.0,-59.51555555555555
BEYOĞLU,Research Hospital,300.0,KADIMEHMET EFENDİ,41.03285599,28.9640173,Research Care,High Capacity,146.86486486486487,0.0,-146.86486486486487
ŞİŞLİ,Policlinic Private,0.0,TEŞVİKİYE,41.05486423,28.99542711,Private Health Care,Low Capacity,40.27368421052631,0.0,-40.27368421052631
ESENYURT,Private Hospital,51.0,AKŞEMSEDDİN,41.01285299,28.69652415,Private Health Care,Medium Capacity,59.51555555555555,0.0,-59.51555555555555
BEŞİKTAŞ,Clinic,,DİKİLİTAŞ,41.05639508,29.00624935,Public Health Care,Low Capacity,6.395012468827931,0.0,-6.395012468827931
ŞİŞLİ,Private Hospital,,GÜLBAHAR,41.06914647,29.00218712,Private Health Care,Medium Capacity,59.51555555555555,0.0,-59.51555555555555
SANCAKTEPE,Red Crescent,,MECLİS,41.00890862,29.21193354,Public Health Care,,0.0,0.0,0.0
ÜSKÜDAR,Research Hospital,,SELİMİYE,41.0017151,29.02083364,Research Care,High Capacity,146.86486486486487,16.500000000000004,-130.36486486486487
KADIKÖY,Policlinic Private,0.0,KOŞUYOLU,41.00799501,29.03500107,Private Health Care,Low Capacity,40.27368421052631,0.0,-40.27368421052631
ŞİŞLİ,Policlinic Private,0.0,HARBİYE,41.04919795,28.99249052,Private Health Care,Low Capacity,40.27368421052631,0.0,-40.27368421052631
KÜÇÜKÇEKMECE,Private Hospital,81.0,ATATÜRK,41.05087386,28.79631931,Private Health Care,Medium Capacity,59.51555555555555,0.0,-59.51555555555555
BAHÇELİEVLER,Clinic,,SİYAVUŞPAŞA,41.00291445,28.85223538,Public Health Care,Low Capacity,6.395012468827931,0.0,-6.395012468827931
KADIKÖY,Policlinic Private,20.0,ACIBADEM,41.00731233,29.04327808,Private Health Care,Low Capacity,40.27368421052631,0.0,-40.27368421052631
ŞİŞLİ,Policlinic Private,0.0,HALASKARGAZİ,41.050088,28.988943,Private Health Care,Low Capacity,40.27368421052631,0.0,-40.27368421052631
BAHÇELİEVLER,Clinic,,BAHÇELİEVLER,41.00286309,28.86549924,Public Health Care,Low Capacity,6.395012468827931,0.0,-6.395012468827931
BAHÇELİEVLER,Clinic,,BAHÇELİEVLER,41.00279123,28.8654067,Public Health Care,Low Capacity,6.395012468827931,0.0,-6.395012468827931
BAHÇELİEVLER,Clinic,,BAHÇELİEVLER,40.99953016,28.86997752,Public Health Care,Low Capacity,6.395012468827931,0.0,-6.395012468827931
ÜSKÜDAR,Private Hospital,39.0,MİMAR SİNAN,41.02591855,29.02186458,Private Health Care,Medium Capacity,59.51555555555555,0.0,-59.51555555555555
BAHÇELİEVLER,Clinic,,KOCASİNAN MERKEZ,41.010852,28.841153,Public Health Care,Low Capacity,6.395012468827931,0.0,-6.395012468827931
BAHÇELİEVLER,Clinic,,FEVZİ ÇAKMAK,40.99967034,28.8341536,Public Health Care,Low Capacity,6.395012468827931,0.0,-6.395012468827931
BAHÇELİEVLER,Private Hospital,111.0,ZAFER,40.99916994,28.83831158,Private Health Care,Medium Capacity,59.51555555555555,0.0,-59.51555555555555
KAĞITHANE,Public Hospital,51.0,SULTAN SELİM,41.09220402,29.00134639,Public Health Care,High Capacity,477.0976744186046,11.2,-465.8976744186046
BAHÇELİEVLER,Clinic,,BAHÇELİEVLER,41.00543,28.871538,Public Health Care,Low Capacity,6.395012468827931,0.0,-6.395012468827931
PENDİK,Policlinic,12.0,YENİŞEHİR,40.92537846,29.30791092,Public Health Care,Low Capacity,6.395012468827931,0.0,-6.395012468827931
BAĞCILAR,Private Hospital,46.0,İNÖNÜ,41.03301387,28.85581532,Private Health Care,Medium Capacity,59.51555555555555,0.0,-59.51555555555555
KADIKÖY,Private Hospital,61.0,FENERYOLU,40.98159724,29.04163789,Private Health Care,Medium Capacity,59.51555555555555,0.0,-59.51555555555555
ÜSKÜDAR,Research Hospital,709.0,SELİMİYE,41.00442712,29.02272294,Research Care,High Capacity,146.86486486486487,0.0,-146.86486486486487
BAKIRKÖY,Private Hospital,77.0,KARTALTEPE,40.99725207,28.87271752,Private Health Care,Medium Capacity,59.51555555555555,0.0,-59.51555555555555
BAKIRKÖY,Policlinic Private,0.0,ZEYTİNLİK,40.97824984,28.87123015,Private Health Care,Low Capacity,40.27368421052631,0.0,-40.27368421052631
ÜMRANİYE,Emergency Station,3.0,ÇAKMAK,41.01603268,29.1280263,Emergency Care,Emergency Location,,0.0,
BAĞCILAR,Private Hospital,75.0,FEVZİ ÇAKMAK,41.04876197,28.85940806,Private Health Care,Medium Capacity,59.51555555555555,0.0,-59.51555555555555
BAHÇELİEVLER,Clinic,,BAHÇELİEVLER,41.00420208,28.8709116,Public Health Care,Low Capacity,6.395012468827931,0.0,-6.395012468827931
