ILCE_UAVT,District,ADI,Category,ADRES,TELEFON,WEBSITESI,ACIL_SERVIS,Capacity,AMBULANS,Nbhood,Latitude,Longitude
1421,KADIKÖY,Marmara Veteriner Kliniði,Veteriner,Bahçeler Sk. No:3 FENERYOLU/KADIKÖY,0216 347 49 42,,,0,Yok,FENERYOLU,40.97964514,29.05070182
1327,FATÝH,Ýstanbul Üniversitesi-Cerrahpaþa Týp Fakültesi Kulak Burun Boðaz Ana Bilim Dalý,Policlinic,ÝÜ Cerrahpaþa Týp Fakültesi Yolu No: CERRAHPAÞA/FATÝH,0212 414 23 59,http://istanbultip.istanbul.edu.tr,Var,60,,CERRAHPAÞA,41.00354611,28.94229439
2015,TUZLA,Private Saradent Aðýz ve Diþ Saðlýðý Polikliniði,Private Aðýz Diþ Saðlýðý Merkezleri,Ýnönü Cad. ÞÝFA/TUZLA,0216 423 23 63,www.saradent.com.tr,,,,ÞÝFA,40.82681499,29.35574539
1421,KADIKÖY,Atalay Veteriner Kliniði,Veteriner,Sinan Ercan Cad. No:6 19 MAYIS/KADIKÖY,0216 372 02 62,,,0,Yok,19 MAYIS,40.96939784,29.08575158
1421,KADIKÖY,Medipol Üniversitesi Hospitalsi Kadýköy,University Hospital,Lambacý Sk. No:2/1 KOÞUYOLU/KADIKÖY,0216 544 66 66,www.medipol.com.tr,Var,72,Var,KOÞUYOLU,41.00466311,29.03434784
1327,FATÝH,Fatih 9 Nolu Aile Saðlýðý Merkezi,Aile Saðlýðý Merkezi,Selim Sabit Sk. MOLLA GÜRANÝ/FATÝH,0212 523 00 51,,Yok,0,,MOLLA GÜRANÝ,41.01447901,28.93787183
1327,FATÝH,Private Fatih Nur Polikliniði,Policlinic Private,Hasan Fehmipaþa Cad. No:39A DERVÝÞ ALÝ/FATÝH,0212 635 03 13,www.nurPoliclinic.com,Yok,0,,DERVÝÞ ALÝ,41.02620991,28.94002535
1336,GAZÝOSMANPAÞA,Karadeniz Aile Saðlýðý Merkezi,Aile Saðlýðý Merkezi,Menderes Cad. No:20 KARADENÝZ/GAZÝOSMANPAÞA,0212 477 18 45,,Yok,0,,KARADENÝZ,41.08238508,28.88256164
1708,ÜSKÜDAR,Private Denteuropa Aðýz ve Diþ Saðlýðý Polikliniði,Private Aðýz Diþ Saðlýðý Merkezleri,Kýsýklý Cad. No:25/2 ALTUNÝZADE/ÜSKÜDAR,0216 651 71 71,www.denteuropa.com,Yok,0,Yok,ALTUNÝZADE,41.02372991,29.04231157
1327,FATÝH,Private Ultra Emar Ýleri Görüntüleme ve Taný Merkezi,Görüntüleme Merkezi Private,Köprülü Mehmetpaþa Sk. No:19A ÞEHREMÝNÝ/FATÝH,0212 589 57 62 - 0212 529 91 93,www.ultraemar.com.tr,,,,ÞEHREMÝNÝ,41.01442393,28.93348637
1103,ADALAR,Adalar 1 Nolu Emergency Station,Emergency Station,Gülistan Cad. No:45 MADEN/ADALAR,0216 385 75 49,www.istanbulsaglik.gov.tr,Yok,3,Var,MADEN,40.87467383,29.13274604
1604,SARIYER,Sarýyer Ýsmail Akgün Public Hospital Ek Hizmet Binasý,Public Hospital,Sarýyer Deresi Sk. No:16 MERKEZ/SARIYER,0212 242 06 65,www.sariyerdh.saglik.gov.tr,Var,,Yok,SARIYER MERKEZ,41.16916369,29.0565991
2048,ARNAVUTKÖY,Hadýmköy Aile Saðlýðý Merkezi,Aile Saðlýðý Merkezi,Çarþamba Sk. No:1 HADIMKÖY/ARNAVUTKÖY,0212 771 28 90,,Yok,0,,HADIMKÖY,41.1561574,28.62462942
2048,ARNAVUTKÖY,Melek Optik,Optik,Þener Sk. No:6C ARNAVUTKÖY MERKEZ/ARNAVUTKÖY,0212 597 55 20,,,,,ARNAVUTKÖY MERKEZ,41.17842113,28.74614311
